,Full path,Coordinates
285,.\DataBase\Runway 3\06083.jpg,"['153', '165', '162', '156', '93', '93', '78', '78']"
286,.\DataBase\Runway 3\06084.jpg,"['153', '165', '162', '156', '93', '93', '77', '77']"
287,.\DataBase\Runway 3\06085.jpg,"['153', '164', '162', '157', '93', '93', '77', '78']"
288,.\DataBase\Runway 3\06086.jpg,"['152', '166', '162', '157', '94', '94', '78', '78']"
289,.\DataBase\Runway 3\06087.jpg,"['153', '165', '162', '157', '94', '94', '80', '80']"
290,.\DataBase\Runway 3\06088.jpg,"['153', '164', '162', '157', '93', '94', '80', '80']"
291,.\DataBase\Runway 3\06089.jpg,"['153', '164', '162', '157', '94', '94', '79', '79']"
292,.\DataBase\Runway 3\06090.jpg,"['153', '164', '162', '157', '94', '94', '80', '80']"
293,.\DataBase\Runway 3\06091.jpg,"['153', '164', '162', '157', '95', '95', '80', '80']"
294,.\DataBase\Runway 3\06092.jpg,"['153', '164', '162', '157', '95', '95', '80', '80']"
295,.\DataBase\Runway 3\06093.jpg,"['153', '164', '162', '157', '95', '95', '80', '80']"
296,.\DataBase\Runway 3\06094.jpg,"['153', '164', '161', '157', '96', '96', '80', '80']"
297,.\DataBase\Runway 3\06095.jpg,"['153', '164', '162', '157', '96', '96', '80', '80']"
298,.\DataBase\Runway 3\06096.jpg,"['153', '164', '162', '156', '96', '96', '80', '80']"
299,.\DataBase\Runway 3\06097.jpg,"['152', '165', '162', '157', '96', '96', '81', '81']"
300,.\DataBase\Runway 3\06098.jpg,"['153', '164', '161', '158', '96', '96', '81', '81']"
301,.\DataBase\Runway 3\06099.jpg,"['152', '164', '161', '156', '96', '96', '82', '82']"
302,.\DataBase\Runway 3\06100.jpg,"['152', '164', '162', '157', '96', '96', '82', '82']"
303,.\DataBase\Runway 3\06101.jpg,"['152', '165', '162', '156', '96', '96', '82', '82']"
304,.\DataBase\Runway 3\06102.jpg,"['152', '164', '162', '157', '97', '97', '82', '82']"
305,.\DataBase\Runway 3\06103.jpg,"['153', '163', '162', '156', '97', '97', '82', '82']"
306,.\DataBase\Runway 3\06104.jpg,"['153', '164', '162', '157', '97', '98', '84', '84']"
307,.\DataBase\Runway 3\06105.jpg,"['153', '164', '161', '156', '98', '98', '82', '82']"
308,.\DataBase\Runway 3\06106.jpg,"['152', '165', '162', '156', '97', '97', '82', '82']"
309,.\DataBase\Runway 3\06107.jpg,"['153', '164', '162', '156', '98', '98', '83', '83']"
310,.\DataBase\Runway 3\06108.jpg,"['152', '164', '161', '156', '97', '97', '82', '83']"
311,.\DataBase\Runway 3\06109.jpg,"['152', '164', '161', '156', '99', '99', '84', '84']"
312,.\DataBase\Runway 3\06110.jpg,"['152', '164', '161', '156', '98', '98', '84', '84']"
313,.\DataBase\Runway 3\06111.jpg,"['152', '165', '162', '156', '98', '98', '84', '84']"
314,.\DataBase\Runway 3\06112.jpg,"['152', '166', '161', '156', '99', '100', '84', '84']"
315,.\DataBase\Runway 3\06113.jpg,"['152', '164', '161', '157', '99', '99', '84', '84']"
316,.\DataBase\Runway 3\06114.jpg,"['152', '164', '161', '156', '99', '99', '84', '84']"
317,.\DataBase\Runway 3\06115.jpg,"['153', '164', '161', '155', '99', '99', '84', '84']"
318,.\DataBase\Runway 3\06116.jpg,"['152', '164', '162', '156', '100', '100', '85', '85']"
319,.\DataBase\Runway 3\06117.jpg,"['152', '164', '161', '156', '100', '100', '84', '84']"
320,.\DataBase\Runway 3\06118.jpg,"['152', '164', '161', '155', '99', '99', '86', '86']"
321,.\DataBase\Runway 3\06119.jpg,"['152', '164', '162', '155', '100', '100', '85', '85']"
322,.\DataBase\Runway 3\06120.jpg,"['151', '164', '161', '155', '100', '99', '85', '85']"
323,.\DataBase\Runway 3\06121.jpg,"['152', '165', '162', '157', '101', '101', '85', '85']"
324,.\DataBase\Runway 3\06122.jpg,"['152', '164', '161', '156', '102', '101', '85', '85']"
325,.\DataBase\Runway 3\06123.jpg,"['152', '165', '162', '157', '101', '102', '86', '86']"
326,.\DataBase\Runway 3\06124.jpg,"['152', '164', '161', '157', '101', '101', '86', '86']"
327,.\DataBase\Runway 3\06125.jpg,"['151', '166', '161', '155', '101', '101', '86', '86']"
328,.\DataBase\Runway 3\06126.jpg,"['152', '165', '162', '156', '101', '102', '86', '86']"
329,.\DataBase\Runway 3\06127.jpg,"['152', '165', '162', '156', '102', '102', '86', '86']"
330,.\DataBase\Runway 3\06128.jpg,"['152', '165', '162', '157', '102', '102', '86', '86']"
331,.\DataBase\Runway 3\06129.jpg,"['152', '165', '162', '156', '102', '102', '86', '86']"
332,.\DataBase\Runway 3\06130.jpg,"['152', '164', '162', '156', '102', '102', '86', '86']"
333,.\DataBase\Runway 3\06131.jpg,"['152', '165', '162', '156', '102', '101', '86', '87']"
334,.\DataBase\Runway 3\06132.jpg,"['152', '164', '162', '156', '102', '102', '87', '87']"
335,.\DataBase\Runway 3\06133.jpg,"['152', '165', '162', '157', '102', '102', '86', '86']"
336,.\DataBase\Runway 3\06134.jpg,"['152', '165', '162', '157', '103', '102', '88', '88']"
337,.\DataBase\Runway 3\06135.jpg,"['153', '165', '162', '156', '103', '102', '87', '87']"
338,.\DataBase\Runway 3\06136.jpg,"['152', '165', '162', '156', '102', '102', '88', '88']"
339,.\DataBase\Runway 3\06137.jpg,"['152', '165', '161', '156', '103', '103', '87', '88']"
340,.\DataBase\Runway 3\06138.jpg,"['152', '165', '162', '156', '102', '102', '88', '88']"
341,.\DataBase\Runway 3\06139.jpg,"['152', '165', '162', '156', '103', '103', '87', '87']"
342,.\DataBase\Runway 3\06140.jpg,"['152', '165', '162', '156', '103', '102', '88', '88']"
343,.\DataBase\Runway 3\06141.jpg,"['152', '165', '162', '156', '103', '103', '88', '88']"
344,.\DataBase\Runway 3\06142.jpg,"['152', '166', '162', '157', '103', '103', '88', '88']"
345,.\DataBase\Runway 3\06143.jpg,"['152', '165', '162', '157', '104', '104', '88', '88']"
346,.\DataBase\Runway 3\06144.jpg,"['152', '164', '162', '157', '104', '104', '88', '88']"
347,.\DataBase\Runway 3\06145.jpg,"['152', '165', '162', '157', '104', '104', '88', '88']"
348,.\DataBase\Runway 3\06146.jpg,"['152', '165', '162', '156', '104', '104', '88', '88']"
349,.\DataBase\Runway 3\06147.jpg,"['152', '165', '162', '157', '104', '104', '88', '88']"
350,.\DataBase\Runway 3\06148.jpg,"['153', '165', '161', '157', '104', '103', '88', '88']"
351,.\DataBase\Runway 3\06149.jpg,"['152', '165', '161', '157', '103', '103', '87', '88']"
352,.\DataBase\Runway 3\06150.jpg,"['152', '166', '162', '157', '104', '104', '88', '89']"
353,.\DataBase\Runway 3\06151.jpg,"['153', '165', '162', '157', '103', '103', '89', '89']"
354,.\DataBase\Runway 3\06152.jpg,"['152', '165', '162', '156', '104', '104', '89', '89']"
355,.\DataBase\Runway 3\06153.jpg,"['153', '166', '162', '157', '104', '104', '89', '89']"
356,.\DataBase\Runway 3\06154.jpg,"['153', '166', '162', '158', '104', '104', '89', '89']"
357,.\DataBase\Runway 3\06155.jpg,"['153', '166', '162', '157', '105', '105', '88', '88']"
358,.\DataBase\Runway 3\06156.jpg,"['153', '166', '163', '157', '105', '104', '88', '89']"
359,.\DataBase\Runway 3\06157.jpg,"['153', '166', '162', '158', '105', '104', '88', '88']"
360,.\DataBase\Runway 3\06158.jpg,"['152', '166', '162', '157', '105', '105', '88', '88']"
361,.\DataBase\Runway 3\06159.jpg,"['152', '167', '162', '157', '105', '105', '89', '89']"
362,.\DataBase\Runway 3\06160.jpg,"['152', '166', '162', '157', '105', '105', '90', '90']"
363,.\DataBase\Runway 3\06161.jpg,"['153', '166', '162', '158', '104', '104', '89', '89']"
364,.\DataBase\Runway 3\06162.jpg,"['153', '167', '163', '157', '104', '104', '89', '89']"
365,.\DataBase\Runway 3\06163.jpg,"['152', '167', '163', '158', '105', '105', '89', '89']"
366,.\DataBase\Runway 3\06164.jpg,"['154', '166', '162', '158', '105', '105', '90', '90']"
367,.\DataBase\Runway 3\06165.jpg,"['153', '166', '162', '158', '105', '105', '89', '89']"
368,.\DataBase\Runway 3\06166.jpg,"['153', '167', '163', '158', '104', '104', '89', '89']"
369,.\DataBase\Runway 3\06167.jpg,"['153', '166', '163', '158', '105', '105', '89', '89']"
370,.\DataBase\Runway 3\06168.jpg,"['153', '166', '163', '158', '105', '105', '90', '90']"
371,.\DataBase\Runway 3\06169.jpg,"['153', '166', '163', '158', '106', '105', '89', '89']"
372,.\DataBase\Runway 3\06170.jpg,"['152', '167', '163', '158', '106', '106', '89', '89']"
373,.\DataBase\Runway 3\06171.jpg,"['153', '166', '164', '159', '105', '105', '89', '89']"
374,.\DataBase\Runway 3\06172.jpg,"['153', '168', '164', '158', '105', '105', '89', '89']"
375,.\DataBase\Runway 3\06173.jpg,"['153', '167', '164', '159', '106', '105', '90', '90']"
376,.\DataBase\Runway 3\06174.jpg,"['153', '168', '164', '158', '105', '106', '89', '89']"
377,.\DataBase\Runway 3\06175.jpg,"['153', '168', '163', '158', '106', '105', '89', '89']"
378,.\DataBase\Runway 3\06176.jpg,"['153', '168', '164', '159', '106', '105', '90', '90']"
379,.\DataBase\Runway 3\06177.jpg,"['153', '168', '163', '158', '106', '106', '90', '90']"
380,.\DataBase\Runway 3\06178.jpg,"['154', '168', '164', '159', '106', '105', '90', '90']"
381,.\DataBase\Runway 3\06179.jpg,"['153', '168', '164', '160', '106', '106', '90', '90']"
382,.\DataBase\Runway 3\06180.jpg,"['153', '168', '164', '158', '106', '106', '90', '90']"
383,.\DataBase\Runway 3\06181.jpg,"['153', '168', '165', '159', '106', '106', '90', '90']"
384,.\DataBase\Runway 3\06182.jpg,"['153', '169', '164', '158', '106', '106', '90', '90']"
385,.\DataBase\Runway 3\06183.jpg,"['153', '168', '164', '159', '106', '106', '90', '90']"
386,.\DataBase\Runway 3\06184.jpg,"['153', '168', '164', '160', '107', '106', '90', '90']"
387,.\DataBase\Runway 3\06185.jpg,"['154', '168', '164', '160', '106', '106', '90', '90']"
388,.\DataBase\Runway 3\06186.jpg,"['154', '168', '164', '160', '106', '106', '90', '90']"
389,.\DataBase\Runway 3\06187.jpg,"['154', '168', '164', '159', '106', '106', '89', '90']"
390,.\DataBase\Runway 3\06188.jpg,"['154', '168', '165', '160', '107', '107', '90', '90']"
391,.\DataBase\Runway 3\06189.jpg,"['154', '169', '164', '160', '106', '106', '90', '90']"
392,.\DataBase\Runway 3\06190.jpg,"['154', '168', '165', '161', '106', '107', '91', '91']"
393,.\DataBase\Runway 3\06191.jpg,"['154', '169', '165', '161', '107', '106', '91', '91']"
394,.\DataBase\Runway 3\06192.jpg,"['153', '170', '165', '160', '107', '106', '90', '90']"
395,.\DataBase\Runway 3\06193.jpg,"['154', '170', '165', '160', '107', '106', '91', '91']"
396,.\DataBase\Runway 3\06194.jpg,"['154', '169', '164', '161', '107', '106', '91', '91']"
397,.\DataBase\Runway 3\06195.jpg,"['154', '169', '165', '160', '107', '107', '90', '90']"
398,.\DataBase\Runway 3\06196.jpg,"['154', '170', '165', '161', '106', '107', '89', '89']"
399,.\DataBase\Runway 3\06197.jpg,"['155', '170', '165', '160', '107', '107', '89', '89']"
400,.\DataBase\Runway 3\06198.jpg,"['154', '170', '166', '162', '107', '107', '90', '90']"
401,.\DataBase\Runway 3\06199.jpg,"['155', '170', '166', '161', '107', '106', '90', '90']"
402,.\DataBase\Runway 3\06200.jpg,"['156', '169', '166', '161', '106', '106', '90', '90']"
403,.\DataBase\Runway 3\06201.jpg,"['155', '169', '165', '160', '107', '106', '90', '90']"
404,.\DataBase\Runway 3\06202.jpg,"['154', '171', '166', '160', '106', '106', '90', '90']"
405,.\DataBase\Runway 3\06203.jpg,"['155', '170', '166', '161', '106', '106', '90', '90']"
406,.\DataBase\Runway 3\06204.jpg,"['155', '170', '165', '162', '107', '106', '90', '90']"
407,.\DataBase\Runway 3\06205.jpg,"['155', '170', '165', '161', '107', '107', '90', '90']"
408,.\DataBase\Runway 3\06206.jpg,"['156', '171', '166', '161', '106', '106', '89', '89']"
409,.\DataBase\Runway 3\06207.jpg,"['156', '171', '166', '161', '106', '105', '89', '89']"
410,.\DataBase\Runway 3\06208.jpg,"['156', '170', '166', '162', '106', '106', '90', '90']"
411,.\DataBase\Runway 3\06209.jpg,"['156', '171', '167', '162', '106', '106', '90', '90']"
412,.\DataBase\Runway 3\06210.jpg,"['155', '171', '166', '161', '107', '107', '90', '90']"
413,.\DataBase\Runway 3\06211.jpg,"['155', '172', '167', '162', '106', '106', '89', '89']"
414,.\DataBase\Runway 3\06212.jpg,"['156', '172', '167', '161', '106', '106', '88', '88']"
415,.\DataBase\Runway 3\06213.jpg,"['156', '172', '167', '161', '106', '105', '89', '90']"
416,.\DataBase\Runway 3\06214.jpg,"['156', '172', '167', '162', '106', '105', '88', '89']"
417,.\DataBase\Runway 3\06215.jpg,"['155', '172', '167', '162', '105', '105', '88', '88']"
418,.\DataBase\Runway 3\06216.jpg,"['156', '172', '167', '162', '105', '104', '88', '89']"
419,.\DataBase\Runway 3\06217.jpg,"['156', '172', '167', '162', '105', '105', '88', '88']"
420,.\DataBase\Runway 3\06218.jpg,"['157', '172', '167', '162', '105', '105', '89', '89']"
421,.\DataBase\Runway 3\06219.jpg,"['157', '173', '168', '163', '106', '106', '88', '88']"
422,.\DataBase\Runway 3\06220.jpg,"['156', '173', '167', '162', '106', '106', '88', '88']"
423,.\DataBase\Runway 3\06221.jpg,"['156', '173', '168', '162', '105', '105', '88', '88']"
424,.\DataBase\Runway 3\06222.jpg,"['157', '173', '168', '162', '105', '105', '88', '88']"
425,.\DataBase\Runway 3\06223.jpg,"['157', '173', '168', '164', '105', '104', '88', '88']"
426,.\DataBase\Runway 3\06224.jpg,"['158', '172', '167', '162', '105', '105', '88', '88']"
427,.\DataBase\Runway 3\06225.jpg,"['157', '172', '167', '162', '104', '104', '88', '88']"
428,.\DataBase\Runway 3\06226.jpg,"['156', '173', '167', '162', '105', '105', '88', '88']"
429,.\DataBase\Runway 3\06227.jpg,"['157', '172', '168', '163', '105', '105', '88', '88']"
430,.\DataBase\Runway 3\06228.jpg,"['156', '173', '168', '163', '105', '104', '87', '87']"
431,.\DataBase\Runway 3\06229.jpg,"['156', '173', '168', '163', '104', '104', '88', '88']"
432,.\DataBase\Runway 3\06230.jpg,"['156', '173', '168', '163', '105', '104', '87', '87']"
433,.\DataBase\Runway 3\06231.jpg,"['157', '173', '168', '163', '104', '104', '88', '88']"
434,.\DataBase\Runway 3\06232.jpg,"['157', '173', '168', '163', '105', '104', '87', '88']"
435,.\DataBase\Runway 3\06233.jpg,"['157', '173', '168', '163', '104', '104', '87', '87']"
436,.\DataBase\Runway 3\06234.jpg,"['157', '172', '167', '162', '104', '104', '87', '87']"
437,.\DataBase\Runway 3\06235.jpg,"['158', '174', '168', '162', '104', '104', '87', '87']"
438,.\DataBase\Runway 3\06236.jpg,"['157', '173', '168', '163', '104', '104', '87', '87']"
439,.\DataBase\Runway 3\06237.jpg,"['156', '173', '168', '163', '105', '104', '87', '87']"
440,.\DataBase\Runway 3\06238.jpg,"['156', '174', '168', '162', '106', '105', '88', '88']"
441,.\DataBase\Runway 3\06239.jpg,"['157', '174', '168', '164', '104', '104', '87', '87']"
442,.\DataBase\Runway 3\06240.jpg,"['157', '174', '168', '163', '104', '104', '87', '87']"
443,.\DataBase\Runway 3\06241.jpg,"['157', '173', '168', '163', '105', '104', '86', '86']"
444,.\DataBase\Runway 3\06242.jpg,"['156', '173', '168', '163', '105', '104', '86', '86']"
445,.\DataBase\Runway 3\06243.jpg,"['156', '174', '168', '164', '104', '103', '86', '86']"
446,.\DataBase\Runway 3\06244.jpg,"['157', '173', '168', '162', '103', '103', '86', '86']"
447,.\DataBase\Runway 3\06245.jpg,"['156', '174', '167', '162', '104', '104', '86', '86']"
448,.\DataBase\Runway 3\06246.jpg,"['156', '173', '168', '162', '104', '104', '86', '86']"
449,.\DataBase\Runway 3\06247.jpg,"['156', '173', '168', '162', '104', '104', '86', '86']"
450,.\DataBase\Runway 3\06248.jpg,"['156', '173', '168', '162', '104', '103', '85', '86']"
451,.\DataBase\Runway 3\06249.jpg,"['156', '173', '168', '162', '104', '104', '85', '85']"
452,.\DataBase\Runway 3\06250.jpg,"['155', '173', '168', '162', '104', '103', '84', '84']"
453,.\DataBase\Runway 3\06251.jpg,"['156', '174', '168', '161', '104', '103', '84', '84']"
454,.\DataBase\Runway 3\06252.jpg,"['155', '173', '167', '161', '104', '103', '84', '84']"
455,.\DataBase\Runway 3\06253.jpg,"['155', '174', '168', '162', '103', '104', '84', '84']"
456,.\DataBase\Runway 3\06254.jpg,"['155', '174', '167', '162', '104', '103', '84', '84']"
457,.\DataBase\Runway 3\06255.jpg,"['156', '174', '168', '162', '104', '104', '84', '84']"
458,.\DataBase\Runway 3\06256.jpg,"['156', '173', '168', '162', '103', '103', '85', '85']"
459,.\DataBase\Runway 3\06257.jpg,"['155', '172', '167', '162', '103', '103', '85', '85']"
460,.\DataBase\Runway 3\06258.jpg,"['155', '174', '167', '161', '103', '103', '84', '84']"
461,.\DataBase\Runway 3\06259.jpg,"['155', '172', '167', '161', '103', '103', '84', '84']"
462,.\DataBase\Runway 3\06260.jpg,"['156', '174', '167', '161', '102', '102', '84', '84']"
463,.\DataBase\Runway 3\06261.jpg,"['154', '174', '167', '162', '104', '103', '84', '84']"
464,.\DataBase\Runway 3\06262.jpg,"['154', '173', '167', '162', '102', '102', '85', '85']"
465,.\DataBase\Runway 3\06263.jpg,"['156', '171', '166', '162', '102', '101', '85', '85']"
466,.\DataBase\Runway 3\06264.jpg,"['156', '172', '166', '162', '102', '102', '84', '84']"
467,.\DataBase\Runway 3\06265.jpg,"['156', '172', '166', '162', '102', '102', '84', '84']"
468,.\DataBase\Runway 3\06266.jpg,"['155', '172', '166', '160', '102', '102', '84', '84']"
469,.\DataBase\Runway 3\06267.jpg,"['154', '173', '167', '160', '102', '101', '83', '83']"
470,.\DataBase\Runway 3\06268.jpg,"['155', '172', '166', '161', '102', '102', '83', '83']"
471,.\DataBase\Runway 3\06269.jpg,"['154', '173', '167', '161', '102', '102', '83', '83']"
472,.\DataBase\Runway 3\06270.jpg,"['154', '172', '166', '161', '102', '102', '82', '82']"
473,.\DataBase\Runway 3\06271.jpg,"['155', '172', '167', '161', '102', '102', '82', '82']"
474,.\DataBase\Runway 3\06272.jpg,"['154', '173', '166', '161', '102', '102', '82', '82']"
475,.\DataBase\Runway 3\06273.jpg,"['154', '173', '166', '161', '102', '101', '82', '82']"
476,.\DataBase\Runway 3\06274.jpg,"['155', '171', '167', '160', '101', '101', '84', '84']"
477,.\DataBase\Runway 3\06275.jpg,"['156', '172', '167', '162', '101', '101', '84', '84']"
478,.\DataBase\Runway 3\06276.jpg,"['153', '173', '167', '161', '103', '102', '83', '83']"
479,.\DataBase\Runway 3\06277.jpg,"['153', '173', '167', '160', '102', '101', '84', '84']"
480,.\DataBase\Runway 3\06278.jpg,"['154', '172', '167', '160', '102', '101', '84', '84']"
481,.\DataBase\Runway 3\06279.jpg,"['153', '172', '166', '160', '101', '100', '82', '82']"
482,.\DataBase\Runway 3\06280.jpg,"['153', '173', '166', '161', '103', '102', '82', '82']"
483,.\DataBase\Runway 3\06281.jpg,"['153', '173', '166', '161', '103', '102', '82', '82']"
484,.\DataBase\Runway 3\06282.jpg,"['153', '174', '166', '161', '103', '103', '82', '82']"
485,.\DataBase\Runway 3\06283.jpg,"['152', '173', '166', '161', '102', '102', '82', '82']"
486,.\DataBase\Runway 3\06284.jpg,"['152', '173', '166', '161', '102', '102', '82', '82']"
487,.\DataBase\Runway 3\06285.jpg,"['153', '172', '166', '161', '102', '102', '82', '82']"
488,.\DataBase\Runway 3\06286.jpg,"['154', '173', '166', '162', '103', '102', '83', '83']"
489,.\DataBase\Runway 3\06287.jpg,"['152', '173', '166', '161', '102', '102', '81', '81']"
490,.\DataBase\Runway 3\06288.jpg,"['152', '172', '166', '160', '102', '102', '82', '82']"
491,.\DataBase\Runway 3\06289.jpg,"['152', '172', '166', '161', '102', '102', '82', '82']"
492,.\DataBase\Runway 3\06290.jpg,"['152', '174', '166', '161', '103', '102', '82', '82']"
493,.\DataBase\Runway 3\06291.jpg,"['153', '173', '166', '160', '102', '102', '81', '81']"
494,.\DataBase\Runway 3\06292.jpg,"['152', '173', '165', '160', '102', '102', '82', '82']"
495,.\DataBase\Runway 3\06293.jpg,"['152', '172', '166', '161', '102', '102', '82', '82']"
496,.\DataBase\Runway 3\06294.jpg,"['152', '172', '166', '160', '102', '102', '83', '83']"
497,.\DataBase\Runway 3\06295.jpg,"['152', '172', '166', '160', '102', '102', '82', '82']"
498,.\DataBase\Runway 3\06296.jpg,"['153', '172', '166', '161', '102', '102', '82', '82']"
499,.\DataBase\Runway 3\06297.jpg,"['152', '173', '166', '160', '102', '102', '81', '81']"
500,.\DataBase\Runway 3\06298.jpg,"['152', '174', '167', '160', '102', '102', '81', '82']"
501,.\DataBase\Runway 3\06299.jpg,"['152', '174', '166', '161', '103', '102', '81', '81']"
502,.\DataBase\Runway 3\06300.jpg,"['152', '174', '166', '160', '102', '102', '82', '82']"
503,.\DataBase\Runway 3\06301.jpg,"['153', '173', '166', '161', '102', '102', '81', '81']"
504,.\DataBase\Runway 3\06302.jpg,"['153', '172', '166', '160', '102', '102', '81', '81']"
505,.\DataBase\Runway 3\06303.jpg,"['153', '172', '166', '160', '101', '101', '82', '82']"
506,.\DataBase\Runway 3\06304.jpg,"['153', '173', '167', '161', '102', '102', '81', '82']"
507,.\DataBase\Runway 3\06305.jpg,"['152', '174', '167', '160', '102', '102', '80', '80']"
508,.\DataBase\Runway 3\06306.jpg,"['152', '173', '165', '159', '102', '102', '80', '80']"
509,.\DataBase\Runway 3\06307.jpg,"['151', '174', '165', '160', '102', '102', '81', '81']"
510,.\DataBase\Runway 3\06308.jpg,"['152', '173', '167', '161', '102', '102', '81', '81']"
511,.\DataBase\Runway 3\06309.jpg,"['152', '172', '166', '160', '102', '102', '81', '82']"
512,.\DataBase\Runway 3\06310.jpg,"['152', '173', '166', '161', '102', '102', '81', '81']"
513,.\DataBase\Runway 3\06311.jpg,"['152', '174', '166', '161', '102', '102', '80', '80']"
514,.\DataBase\Runway 3\06312.jpg,"['152', '174', '166', '161', '102', '102', '81', '81']"
515,.\DataBase\Runway 3\06313.jpg,"['152', '172', '166', '161', '102', '101', '80', '80']"
516,.\DataBase\Runway 3\06314.jpg,"['152', '175', '166', '161', '102', '102', '81', '81']"
517,.\DataBase\Runway 3\06315.jpg,"['152', '174', '167', '160', '102', '102', '81', '81']"
518,.\DataBase\Runway 3\06316.jpg,"['151', '175', '167', '160', '102', '102', '80', '80']"
519,.\DataBase\Runway 3\06317.jpg,"['152', '174', '167', '161', '102', '102', '80', '80']"
520,.\DataBase\Runway 3\06318.jpg,"['152', '176', '167', '161', '103', '103', '81', '81']"
521,.\DataBase\Runway 3\06319.jpg,"['152', '175', '167', '161', '104', '103', '80', '81']"
522,.\DataBase\Runway 3\06320.jpg,"['151', '175', '167', '161', '104', '104', '80', '80']"
523,.\DataBase\Runway 3\06321.jpg,"['151', '174', '167', '161', '102', '103', '81', '81']"
524,.\DataBase\Runway 3\06322.jpg,"['152', '174', '167', '160', '103', '103', '80', '80']"
525,.\DataBase\Runway 3\06323.jpg,"['152', '174', '167', '162', '103', '103', '80', '80']"
526,.\DataBase\Runway 3\06324.jpg,"['152', '175', '168', '161', '103', '103', '81', '81']"
527,.\DataBase\Runway 3\06325.jpg,"['151', '175', '167', '162', '103', '102', '80', '80']"
528,.\DataBase\Runway 3\06326.jpg,"['152', '176', '167', '161', '102', '102', '80', '80']"
529,.\DataBase\Runway 3\06327.jpg,"['152', '176', '168', '161', '103', '103', '80', '80']"
530,.\DataBase\Runway 3\06328.jpg,"['152', '176', '168', '162', '103', '103', '80', '80']"
531,.\DataBase\Runway 3\06329.jpg,"['151', '176', '168', '162', '102', '102', '80', '80']"
532,.\DataBase\Runway 3\06330.jpg,"['152', '175', '167', '162', '102', '102', '80', '80']"
533,.\DataBase\Runway 3\06331.jpg,"['153', '176', '168', '162', '103', '103', '80', '80']"
534,.\DataBase\Runway 3\06332.jpg,"['151', '176', '168', '163', '103', '103', '81', '81']"
535,.\DataBase\Runway 3\06333.jpg,"['152', '176', '168', '163', '103', '104', '80', '80']"
536,.\DataBase\Runway 3\06334.jpg,"['152', '175', '168', '163', '103', '103', '80', '80']"
537,.\DataBase\Runway 3\06335.jpg,"['152', '176', '168', '162', '103', '103', '80', '80']"
538,.\DataBase\Runway 3\06336.jpg,"['152', '176', '168', '162', '103', '103', '80', '80']"
539,.\DataBase\Runway 3\06337.jpg,"['151', '176', '168', '162', '104', '103', '80', '80']"
540,.\DataBase\Runway 3\06338.jpg,"['152', '176', '168', '162', '103', '103', '80', '80']"
541,.\DataBase\Runway 3\06339.jpg,"['152', '176', '168', '163', '104', '104', '80', '80']"
542,.\DataBase\Runway 3\06340.jpg,"['152', '176', '168', '162', '103', '104', '80', '80']"
543,.\DataBase\Runway 3\06341.jpg,"['151', '178', '168', '162', '104', '104', '79', '79']"
544,.\DataBase\Runway 3\06342.jpg,"['151', '177', '170', '163', '103', '103', '80', '80']"
545,.\DataBase\Runway 3\06343.jpg,"['152', '176', '168', '162', '104', '104', '79', '79']"
546,.\DataBase\Runway 3\06344.jpg,"['152', '177', '169', '163', '103', '103', '80', '80']"
547,.\DataBase\Runway 3\06345.jpg,"['151', '178', '169', '162', '104', '104', '80', '80']"
548,.\DataBase\Runway 3\06346.jpg,"['151', '176', '169', '163', '104', '104', '80', '80']"
549,.\DataBase\Runway 3\06347.jpg,"['151', '178', '169', '163', '103', '104', '80', '80']"
550,.\DataBase\Runway 3\06348.jpg,"['152', '176', '168', '164', '103', '103', '80', '80']"
551,.\DataBase\Runway 3\06349.jpg,"['152', '177', '168', '164', '103', '103', '80', '79']"
552,.\DataBase\Runway 3\06350.jpg,"['153', '179', '169', '163', '104', '104', '80', '80']"
553,.\DataBase\Runway 3\06351.jpg,"['151', '178', '169', '164', '104', '104', '80', '80']"
554,.\DataBase\Runway 3\06352.jpg,"['152', '178', '169', '164', '104', '104', '79', '79']"
555,.\DataBase\Runway 3\06353.jpg,"['151', '177', '169', '164', '104', '104', '80', '80']"
556,.\DataBase\Runway 3\06354.jpg,"['151', '176', '170', '164', '103', '104', '81', '81']"
557,.\DataBase\Runway 3\06355.jpg,"['150', '179', '169', '163', '105', '106', '80', '80']"
558,.\DataBase\Runway 3\06356.jpg,"['151', '178', '169', '163', '104', '105', '81', '81']"
559,.\DataBase\Runway 3\06357.jpg,"['151', '178', '169', '164', '104', '104', '80', '80']"
560,.\DataBase\Runway 3\06358.jpg,"['152', '178', '169', '164', '104', '105', '79', '79']"
561,.\DataBase\Runway 3\06359.jpg,"['151', '178', '169', '162', '104', '104', '80', '80']"
562,.\DataBase\Runway 3\06360.jpg,"['150', '178', '169', '163', '105', '105', '80', '80']"
563,.\DataBase\Runway 3\06361.jpg,"['151', '178', '169', '163', '105', '106', '80', '80']"
564,.\DataBase\Runway 3\06362.jpg,"['151', '178', '168', '162', '104', '105', '80', '80']"
565,.\DataBase\Runway 3\06363.jpg,"['150', '179', '170', '164', '105', '105', '80', '80']"
566,.\DataBase\Runway 3\06364.jpg,"['151', '179', '169', '163', '106', '106', '80', '80']"
567,.\DataBase\Runway 3\06365.jpg,"['150', '180', '169', '164', '106', '106', '80', '80']"
568,.\DataBase\Runway 3\06366.jpg,"['149', '180', '170', '164', '106', '106', '81', '81']"
569,.\DataBase\Runway 3\06367.jpg,"['150', '180', '169', '164', '106', '105', '80', '80']"
